日期,指数点位,波动率
2024-09-06,3231.3457,0.10528609539652795
2024-09-09,3192.9516,0.11106286811149459
2024-09-10,3195.7552,0.11150906755435579
2024-09-11,3186.1299,0.11037975979680105
2024-09-12,3172.4747,0.10893829598501292
2024-09-13,3159.247,0.10016747066274784
2024-09-18,3171.0102,0.10180470203493375
2024-09-19,3196.0357,0.10620428561936199
2024-09-20,3201.0497,0.10544622022024977
2024-09-23,3212.7639,0.10701881018435162
2024-09-24,3351.909,0.18854863865952481
2024-09-25,3401.533,0.19455966511167821
2024-09-26,3545.3204,0.2408700564717653
2024-09-27,3703.6849,0.27784497128436036
2024-09-30,4017.8545,0.3870580330348541
2024-10-08,4256.0962,0.4198547715506528
2024-10-09,3955.9839,0.5095036642273338
2024-10-10,3997.7879,0.5007673687972081
2024-10-11,3887.167,0.5172280519782454
2024-10-14,3961.3424,0.5153351034309881
2024-10-15,3855.9949,0.5301429593360422
2024-10-16,3831.589,0.529472828384906
2024-10-17,3788.2217,0.5292007922196449
2024-10-18,3925.234,0.5366971427758774
2024-10-21,3935.1974,0.535294923754452
2024-10-22,3957.7755,0.5328935341116929
2024-10-23,3973.2089,0.5307050779409535
2024-10-24,3928.8334,0.5359376270770801
2024-10-25,3956.421,0.5360054869846702
2024-10-28,3964.1569,0.5359237129304133
2024-10-29,3924.649,0.5402632488264262
2024-10-30,3889.4487,0.5300566387763316
2024-10-31,3891.0396,0.5299485055566504
2024-11-01,3890.0203,0.51448382455628
2024-11-04,3944.7619,0.4952596293656438
2024-11-05,4044.5725,0.40713417023789994
2024-11-06,4024.2831,0.3468650737971207
2024-11-07,4145.6952,0.26309915992102506
2024-11-08,4104.047,0.2646856216655237
2024-11-11,4131.1312,0.2430268909938186
2024-11-12,4085.743,0.24028325056316932
2024-11-13,4110.8901,0.21760828853541825
2024-11-14,4039.6191,0.22679177098759204
2024-11-15,3968.8308,0.23254165802539448
2024-11-18,3950.3806,0.19812583775359027
2024-11-19,3976.8912,0.1992233512295082
2024-11-20,3985.7727,0.1984478708537548
2024-11-21,3989.2979,0.19805425839178575
2024-11-22,3865.6989,0.22281413155415472
2024-11-25,3848.0909,0.22137809769517763
2024-11-26,3840.1847,0.2210870318462587
2024-11-27,3907.0447,0.22798485399464793
2024-11-28,3872.5505,0.22791670979890727
2024-11-29,3916.5832,0.2313677504686094
2024-12-02,3947.632,0.2328016676727035
2024-12-03,3951.8912,0.22776660649287236
2024-12-04,3930.5568,0.20917738987322568
2024-12-05,3921.5881,0.20877569608884036
2024-12-06,3973.1405,0.18338386094468068
2024-12-09,3966.5708,0.18100932756168922
2024-12-10,3995.6369,0.181440038122274
2024-12-11,3988.8308,0.17815984898488796
2024-12-12,4028.5048,0.18056819455822654
2024-12-13,3933.1808,0.1889570288957102
2024-12-16,3911.8416,0.18023698649753228
2024-12-17,3922.0334,0.17994880442437983
2024-12-18,3941.89,0.17923107008252442
2024-12-19,3945.4635,0.17904806096429865
2024-12-20,3927.7441,0.17952124207440268
2024-12-23,3933.5718,0.14171624594183685
2024-12-24,3983.6882,0.14597915851230694
2024-12-25,3985.6291,0.14542193471271403
2024-12-26,3987.4801,0.13391138594251525
2024-12-27,3981.0307,0.1294962648965141
2024-12-30,3999.0549,0.12491175579839088
2024-12-31,3934.9109,0.13537215546530304
2025-01-02,3820.3952,0.16836159047915508
2025-01-03,3775.1648,0.17165971867743154
2025-01-06,3768.9697,0.17165436239140192
2025-01-07,3796.1055,0.16626838978736078
2025-01-08,3789.2153,0.1662636771619953
2025-01-09,3779.8773,0.16267184361799344
2025-01-10,3732.4806,0.16622026336065535
2025-01-13,3722.513,0.15934143423588154
2025-01-14,3820.5395,0.17390215166989725
2025-01-15,3796.026,0.17423004696881011
2025-01-16,3800.3836,0.17388357571918378
2025-01-17,3812.3429,0.17310540065340882
2025-01-20,3829.6764,0.17420761299547238
2025-01-21,3832.6145,0.17396890216281344
2025-01-22,3797.0166,0.1759364651600953
2025-01-23,3803.7439,0.1686037600901758
2025-01-24,3832.8637,0.17181182408310616
2025-01-27,3817.0802,0.171782992727227
2025-02-05,3795.0848,0.17225951373967038
2025-02-06,3842.8314,0.17838413671644268
2025-02-07,3892.7028,0.1775904370886177
2025-02-10,3901.0618,0.14386178980512263
2025-02-11,3883.1352,0.13775299723828072
2025-02-12,3919.8617,0.14003345615045693
2025-02-13,3905.1398,0.13995944564378765
2025-02-14,3939.0085,0.14164229919985868
2025-02-17,3947.3983,0.14075586760828768
2025-02-18,3912.7829,0.13635087070178575
2025-02-19,3940.1602,0.13603708486613755
2025-02-20,3928.8959,0.10667268510044081
2025-02-21,3978.444,0.10953433676067058
2025-02-24,3969.7169,0.110568614669553
2025-02-25,3925.6505,0.11952334113062058
2025-02-26,3959.9413,0.12176238287026024
2025-02-27,3968.1159,0.12173054396647816
2025-02-28,3890.0487,0.1377829269419247
2025-03-03,3888.4738,0.1378732643258526
2025-03-04,3885.2208,0.13589868901946126
2025-03-05,3902.5706,0.13533104928586462
2025-03-06,3956.2369,0.13969380759133876
2025-03-07,3944.0143,0.13524150289334616
2025-03-10,3928.8018,0.12932747016859572
2025-03-11,3941.4157,0.1295533455191215
2025-03-12,3927.2315,0.1291025788446569
2025-03-13,3911.5793,0.12579738787418962
2025-03-14,4006.5567,0.15051314259072932
2025-03-17,3996.7876,0.14853047709043185
2025-03-18,4007.7229,0.14861700081794305
2025-03-19,4010.168,0.1445316697982997
2025-03-20,3974.9918,0.14688075507637613
2025-03-21,3914.6956,0.15627507527698872
2025-03-24,3934.8486,0.1506476341084513
2025-03-25,3932.2951,0.15052145022009536
2025-03-26,3919.3566,0.14589116415874098
2025-03-27,3932.4117,0.14296912554129745
2025-03-28,3915.1662,0.14337406616496465
2025-03-31,3887.3056,0.12811249887790874
2025-04-01,3887.6841,0.12810445071869125
2025-04-02,3884.3858,0.12810545461258957
2025-04-03,3861.5034,0.1286002040399027
2025-04-07,3589.4406,0.2672891950649094
2025-04-08,3650.759,0.2775513570639322
2025-04-09,3686.7943,0.28138972943101453
2025-04-10,3735.1151,0.28613143378094125
2025-04-11,3750.5167,0.28697196243574224
2025-04-14,3759.1422,0.28725790457990963
2025-04-15,3761.2348,0.27151517625141885
2025-04-16,3772.8204,0.272294941610429
2025-04-17,3772.2221,0.2717647538362374
2025-04-18,3772.523,0.2716887118441205
2025-04-21,3784.8806,0.271535037382059
2025-04-22,3783.9522,0.2674348322601691
2025-04-23,3786.8824,0.2664974800979339
2025-04-24,3784.3574,0.26649661481068293
2025-04-25,3786.9937,0.26655182555535417
2025-04-28,3781.6188,0.26597552479811537
2025-04-29,3775.0767,0.2657993593282736
2025-04-30,3770.5705,0.26503989517485466
2025-05-06,3808.5424,0.26794417724960445
2025-05-07,3831.627,0.2690076815146336
2025-05-08,3852.8963,0.26904318525866006
2025-05-09,3846.1566,0.08355995231664419
2025-05-12,3890.6096,0.07369276751155242
2025-05-13,3896.2583,0.0695199122041823
2025-05-14,3943.2108,0.06758720202166348
2025-05-15,3907.1992,0.07852174008496991
2025-05-16,3889.0854,0.08175549798270446
2025-05-19,3877.1453,0.08330727718948429
2025-05-20,3898.1705,0.08427121469479933
2025-05-21,3916.3807,0.0846821774888158
2025-05-22,3913.8651,0.08490376391525112
2025-05-23,3882.2741,0.09122636037624603
2025-05-26,3860.1067,0.09425093092299044
2025-05-27,3839.3969,0.09677400576747873
2025-05-28,3836.2366,0.09680280449776511
2025-05-29,3858.6998,0.09845864014500552
2025-05-30,3840.2323,0.10013936671901365
2025-06-03,3852.0127,0.10002037836160131
2025-06-04,3868.7429,0.10034273564610938
2025-06-05,3877.5557,0.09520499878768422
2025-06-06,3873.9841,0.09346691170242004
2025-06-09,3885.2459,0.09211997100531845
2025-06-10,3865.4652,0.09382067943015301
2025-06-11,3894.6252,0.08861354244762705
2025-06-12,3892.1992,0.08849547728339358
2025-06-13,3864.1822,0.08009585360991868
2025-06-16,3873.7951,0.07510017187112351
2025-06-17,3870.3786,0.07354071936146601
2025-06-18,3874.9708,0.07293742246898101
2025-06-19,3843.0912,0.07539653714757696
2025-06-20,3846.6443,0.07313734901241625
2025-06-23,3857.9016,0.07429768840347968
2025-06-24,3904.0342,0.0812466690401495
2025-06-25,3960.0662,0.09166960101320396
2025-06-26,3946.0195,0.09022554892935818
2025-06-27,3921.7578,0.09364096094954485
2025-06-30,3936.0791,0.09252554606900446
2025-07-01,3942.762,0.09014587833569586
2025-07-02,3943.6849,0.08996846154102663
2025-07-03,3968.0676,0.0910143181871379
2025-07-04,3982.2034,0.09131010398007776
2025-07-07,3965.1746,0.09305433843269562
2025-07-08,3998.4527,0.09626301264955908
2025-07-09,3991.4006,0.09410786676249801
2025-07-10,4010.0243,0.09230714507440319
2025-07-11,4014.807,0.09201776315626549
2025-07-14,4017.6678,0.0865183817022198
2025-07-15,4019.0644,0.08664359549958933
2025-07-16,4007.2019,0.08773116011491698
2025-07-17,4034.491,0.0894857425395525
2025-07-18,4058.5486,0.08239587639866121
2025-07-21,4085.6072,0.08330881842596981
2025-07-22,4118.9582,0.08529132023214528
2025-07-23,4119.7685,0.07949843414101823
2025-07-24,4149.0368,0.06927874832155065
2025-07-25,4127.1634,0.07131906048928299
2025-07-28,4135.8242,0.0646384441774061
2025-07-29,4152.0247,0.0647023590995528
2025-07-30,4151.2379,0.06534435259285092
2025-07-31,4075.5912,0.09692867391289874
2025-08-01,4054.9286,0.09803607109227902
2025-08-04,4070.7023,0.09814836817670557
2025-08-05,4103.45,0.09897589284354878
2025-08-06,4113.4852,0.09597128013705142
2025-08-07,4114.666,0.09538897514397515
2025-08-08,4104.9669,0.0955234822509933
2025-08-11,4122.5106,0.09614231741281404
2025-08-12,4143.8252,0.09704727965066523
2025-08-13,4176.5776,0.09942623728011181
2025-08-14,4173.3131,0.09838425235926924
2025-08-15,4202.3533,0.09847792014750165
2025-08-18,4239.4125,0.10041774553776618
2025-08-19,4223.3741,0.10094961220028376
2025-08-20,4271.3958,0.10413816876341835
2025-08-21,4288.0707,0.1042320787936357
2025-08-22,4377.9977,0.12239434713249482
2025-08-25,4469.2217,0.13411979344460673
2025-08-26,4452.5905,0.13656094384958511
2025-08-27,4386.1266,0.15079264473445347
2025-08-28,4463.782,0.1590494865695092
2025-08-29,4496.7591,0.13835224353352976
2025-09-01,4523.7111,0.13370860120523595
2025-09-02,4490.4528,0.14064767396708194
2025-09-03,4459.8296,0.14556198616142746
2025-09-04,4365.2085,0.16982891793167873
2025-09-05,4460.3249,0.18160806935678417
2025-09-08,4467.5733,0.18039618587792397
2025-09-09,4436.2584,0.18444834572694402
2025-09-10,4445.3649,0.18442221911006587
2025-09-11,4548.0345,0.19621359311631825
2025-09-12,4521.998,0.19850900125106888
2025-09-15,4533.0557,0.19824908097520794
2025-09-16,4523.3367,0.19831136213794887
2025-09-17,4551.023,0.19690138877601965
2025-09-18,4498.109,0.2015814161493239
2025-09-19,4501.9195,0.20159936461813482
2025-09-22,4522.608,0.1902499356710036
2025-09-23,4519.7781,0.1769955866666231
2025-09-24,4566.0708,0.1792998799581726
2025-09-25,4593.4875,0.16990549998886198
2025-09-26,4550.0487,0.16476323683789165
2025-09-29,4620.0528,0.17090726890322328
2025-09-30,4640.6935,0.1704653375452431
2025-10-09,4709.482,0.17360991371966028
2025-10-10,4616.8341,0.18731102320440707
2025-10-13,4593.9785,0.1698845714490582
2025-10-14,4539.0644,0.16159426519489054
2025-10-15,4606.2879,0.16865765253315085
2025-10-16,4618.4218,0.16580361800895418
2025-10-17,4514.2345,0.18630191085628647
2025-10-20,4538.2201,0.16885169135900996
2025-10-21,4607.8715,0.17557165304194638
2025-10-22,4592.57,0.17609024012761232
2025-10-23,4606.3447,0.1759522192015915
2025-10-24,4660.6835,0.17913373911801264
2025-10-27,4716.0186,0.17641582311335174
2025-10-28,4691.973,0.17823190542722284
2025-10-29,4747.8378,0.18132969591407977
2025-10-30,4709.911,0.1846306428456662
2025-10-31,4640.6676,0.19076668642547037
2025-11-03,4653.4028,0.18998751508537476
2025-11-04,4618.699,0.18876524610062767
2025-11-05,4627.257,0.1812441685847942
2025-11-06,4693.4032,0.18729911758749251
2025-11-07,4678.7944,0.18031847582290514
2025-11-10,4695.0507,0.1661765944763754
2025-11-11,4652.1655,0.16863125011669705
2025-11-12,4645.9079,0.16253228961246174
2025-11-13,4702.0738,0.15990501759054407
2025-11-14,4628.1398,0.169915130854815
2025-11-17,4598.0525,0.1509106338270201
2025-11-18,4568.1928,0.1521170561206478
2025-11-19,4588.2922,0.14297616547663308
2025-11-20,4564.9483,0.14359737886015128
2025-11-21,4453.6076,0.16547199894519024
2025-11-24,4448.0478,0.15822376853396453
2025-11-25,4490.4047,0.15578559232286437
2025-11-26,4517.6255,0.15802756584590685
2025-11-27,4515.4027,0.15016399274701264
2025-11-28,4526.6616,0.14958913273170601
2025-12-01,4576.4856,0.1482534302646591
2025-12-02,4554.3347,0.14841199371985933
2025-12-03,4531.0486,0.1473413728571396
2025-12-04,4546.5664,0.14780736190630153
2025-12-05,4584.5368,0.14145912599882815
2025-12-08,4621.7545,0.14473654257466032
2025-12-09,4598.2232,0.1447815772283004
2025-12-10,4591.8273,0.1417202482862682
2025-12-11,4552.1848,0.14443666922762252
2025-12-12,4580.95,0.13916999417712864
2025-12-15,4552.0596,0.13033441851692978
2025-12-16,4497.5545,0.13467994121298676
2025-12-17,4579.875,0.1486447675426981
2025-12-18,4552.7926,0.1492334347196161
2025-12-19,4568.1781,0.14871195593772712
2025-12-22,4611.6235,0.122495500856922
2025-12-23,4620.7341,0.12202932280017072
2025-12-24,4634.0586,0.11889210356881623
2025-12-25,4642.5357,0.11775667033948357
2025-12-26,4657.24,0.11772720626368567
2025-12-29,4639.3721,0.1190884374166562
2025-12-30,4651.2818,0.11380150856373904
2025-12-31,4629.9395,0.11364767054601675
2026-01-05,4717.7457,0.1275918590524504
2026-01-06,4790.6938,0.13588358567008973
2026-01-07,4776.6658,0.1354102765525754
2026-01-08,4737.6536,0.13785544734548358
2026-01-09,4758.9221,0.13631880025449228
2026-01-12,4789.9155,0.1368296783714266
2026-01-13,4761.0324,0.13454714947413676
2026-01-14,4741.9306,0.13529292127010606
2026-01-15,4751.4293,0.1321372743026162
2026-01-16,4731.8728,0.12417364487275873
2026-01-19,4734.4556,0.11004074419141005
2026-01-20,4718.8782,0.1081414316195308
2026-01-21,4723.0692,0.10800683200774744
2026-01-22,4723.7091,0.10418214306684899
2026-01-23,4702.4966,0.1059410754085119
2026-01-26,4706.964,0.10568637223500572
2026-01-27,4705.6918,0.10567012065156978
2026-01-28,4717.9914,0.1055222308444321
2026-01-29,4753.8697,0.10684368064073176
2026-01-30,4706.3401,0.11345454259703508
2026-02-02,4605.9799,0.13570126578002922
2026-02-03,4660.1074,0.12471284297596541
2026-02-04,4698.6832,0.11520669829594703
2026-02-05,4670.4188,0.11638259594337881
2026-02-06,4643.5959,0.11480564647212546
2026-02-09,4719.0559,0.1282427331958149
2026-02-10,4724.2956,0.12593452022262144
2026-02-11,4713.8185,0.12455845315453193
2026-02-12,4719.578,0.12398816373913538
2026-02-13,4660.4056,0.1307841950477738
2026-02-24,4707.544,0.1355623458665601
2026-02-25,4735.8858,0.13726316679859804
2026-02-26,4726.8739,0.13692149044069868
2026-02-27,4710.6469,0.13743176292166406
2026-03-02,4728.6688,0.13810084557399294
2026-03-03,4655.8962,0.1474934966874433
2026-03-04,4602.6247,0.15220101576710296
2026-03-05,4647.6921,0.15675114402345997
2026-03-06,4660.439,0.1567844825970898
2026-03-09,4615.4551,0.156888839141122
2026-03-10,4674.7562,0.16094755770068156
2026-03-11,4704.4959,0.14287743767954883
2026-03-12,4687.5601,0.13820557442652306
2026-03-13,4669.14,0.13579284371839975
2026-03-16,4671.5591,0.13418362835786393
2026-03-17,4637.4392,0.13513744426679636
2026-03-18,4658.3324,0.12287922949597374
2026-03-19,4583.2511,0.1338791840481985
2026-03-20,4567.0179,0.13405850860712845
2026-03-23,4417.9971,0.17153828255534762
2026-03-24,4474.7224,0.17637280471786154
2026-03-25,4537.4656,0.18019714154414726
2026-03-26,4477.5343,0.18213240478830656
2026-03-27,4502.5698,0.18433308586536132
2026-03-30,4491.95,0.18428360772009608
2026-03-31,4450.0493,0.18450058381300116
2026-04-01,4526.0668,0.19081490651168845
2026-04-02,4478.9141,0.19015959557064796
2026-04-03,4440.7889,0.18734516977830615
2026-04-07,4440.6162,0.1866859739761858
2026-04-08,4595.556,0.22434803016528554
2026-04-09,4566.2237,0.22020389885441496
2026-04-10,4636.5655,0.22617417431086223
2026-04-13,4646.1546,0.22607786944657607
2026-04-14,4701.2837,0.22950092812930695
2026-04-15,4685.2464,0.22988442463038725
2026-04-16,4736.6077,0.23103824079504962
2026-04-17,4728.6716,0.23088541106367808
2026-04-20,4757.4419,0.22304669121610915
